date,"state","confirmed","recovered","death"
15-03-2020,"Karnataka",7,0,0
16-03-2020,"Karnataka",8,0,0
17-03-2020,"Karnataka",11,0,0
18-03-2020,"Karnataka",14,0,0
19-03-2020,"Karnataka",15,0,0
20-03-2020,"Karnataka",15,0,0
21-03-2020,"Karnataka",20,0,0
22-03-2020,"Karnataka",26,0,0
23-03-2020,"Karnataka",33,0,0
24-03-2020,"Karnataka",41,0,0
25-03-2020,"Karnataka",51,0,0
26-03-2020,"Karnataka",55,0,0
27-03-2020,"Karnataka",64,0,0
28-03-2020,"Karnataka",76,0,0
15-03-2020,"Kerala",24,0,0
16-03-2020,"Kerala",27,0,0
17-03-2020,"Kerala",27,0,0
18-03-2020,"Kerala",27,0,0
19-03-2020,"Kerala",28,0,0
20-03-2020,"Kerala",40,0,0
21-03-2020,"Kerala",52,0,0
22-03-2020,"Kerala",67,0,0
23-03-2020,"Kerala",95,0,0
24-03-2020,"Kerala",109,0,0
25-03-2020,"Kerala",118,0,0
26-03-2020,"Kerala",137,0,0
27-03-2020,"Kerala",176,0,0
28-03-2020,"Kerala",182,0,0
15-03-2020,"Maharashtra",33,0,0
16-03-2020,"Maharashtra",39,0,0
17-03-2020,"Maharashtra",41,0,0
18-03-2020,"Maharashtra",45,0,0
19-03-2020,"Maharashtra",48,0,0
20-03-2020,"Maharashtra",52,0,0
21-03-2020,"Maharashtra",64,0,0
22-03-2020,"Maharashtra",74,0,0
23-03-2020,"Maharashtra",97,0,0
24-03-2020,"Maharashtra",107,0,0
25-03-2020,"Maharashtra",122,0,0
26-03-2020,"Maharashtra",130,0,0
27-03-2020,"Maharashtra",153,0,0
28-03-2020,"Maharashtra",186,0,0
